year,litter_size,mother_id,mother_age,rodent_index
2007,9,1218,3,64.5
2007,2,1009,1,64.5
2007,7,639,3,64.5
2008,5,1104,1,0
2008,10,1218,4,0
2008,11,1009,2,0
2008,0,1222,3,0
2009,7,1104,2,2
2009,0,1199,1,2
2009,8,1218,5,2
2009,7,1009,3,2
2009,8,622,2,2
2009,0,639,5,2
2009,6,1222,4,2
2010,5,1104,3,26.5
2010,6,1199,2,26.5
2010,6,639,6,26.5
2010,13,1218,6,26.5
2010,14,1009,4,26.5
2010,11,622,3,26.5
2010,7,1214,1,26.5
2010,8,1222,5,26.5
2011,6,1104,4,2
2011,8,1199,3,2
2011,3,1218,7,2
2011,12,1009,5,2
2011,6,1214,2,2
2011,1,1222,6,2
2011,6,1036,1,2
2012,5,1104,5,0
2012,0,1199,4,0
2012,3,1218,8,0
2012,0,1009,6,0
2012,5,1214,3,0
2012,4,1222,7,0
2012,3,1036,2,0
2013,8,1104,6,5.8
2013,7,1199,5,5.8
2013,4,1176,1,5.8
2013,0,1009,7,5.8
2013,6,1137,1,5.8
2013,5,1214,4,5.8
2013,0,1222,8,5.8
2013,11,1036,3,5.8
2014,3,1036,4,4.8
2014,5,1199,6,4.8
2014,6,1104,7,4.8
2014,1,1137,2,4.8
2014,5,1214,5,4.8
2014,6,1222,9,4.8
2015,7,1036,5,1
2015,3,1199,7,1
2015,3,1104,8,1
2015,4,1176,3,1
2015,8,1137,3,1
2015,1,965,1,1
2015,5,1214,6,1
2015,0,1303,1,1
2015,0,1222,10,1
2016,0,1036,6,1.8
2016,0,1489,1,1.8
2016,0,1443,1,1.8
2016,9,1176,4,1.8
2016,3,1137,4,1.8
2016,0,965,2,1.8
2016,7,1303,2,1.8
2016,0,1009,10,1.8
2017,7,1036,7,17.3
2017,6,1489,2,17.3
2017,9,1176,5,17.3
2017,5,1137,5,17.3
2017,8,965,3,17.3
2017,0,1517,1,17.3
2017,9,1303,3,17.3
2018,1,1443,3,1.8
2018,7,1489,3,1.8
2018,11,1622,1,1.8
2018,6,1176,6,1.8
2018,7,1137,6,1.8
2018,7,965,4,1.8
2018,0,1517,2,1.8
2018,9,1303,4,1.8
2019,0,1443,4,0.5
2019,8,1489,4,0.5
2019,0,1176,7,0.5
2019,3,1137,7,0.5
2019,0,965,5,0.5
2019,7,1517,3,0.5
2019,0,2411,1,0.5
2019,0,1622,2,0.5
2020,0,2481,1,2
2020,2,1489,5,2
2020,0,1622,3,2
2020,6,1517,4,2
2020,8,965,6,2
2020,1,2480,1,2
2020,0,2411,2,2
2021,5,2481,2,5.25
2021,3,2733,1,5.25
2021,9,1517,5,5.25
2021,6,1622,4,5.25
2021,0,965,7,5.25
2021,7,2411,3,5.25
